country,country_code,region,income_group,year,life_expectancy
Suriname,SUR,Latin America & Caribbean,Upper middle income,2003,68.32963415
Slovenia,SVN,Europe & Central Asia,High income,2003,76.85853659
Sweden,SWE,Europe & Central Asia,High income,2003,80.09512195
Swaziland,SWZ,Sub-Saharan Africa,Lower middle income,2003,45.95809756
Seychelles,SYC,Sub-Saharan Africa,High income,2003,71.02926829
Syrian Arab Republic,SYR,Middle East & North Africa,Lower middle income,2003,73.73136585
Chad,TCD,Sub-Saharan Africa,Low income,2003,47.68185366
Togo,TGO,Sub-Saharan Africa,Low income,2003,53.88712195
Thailand,THA,East Asia & Pacific,Upper middle income,2003,71.43392683
Tajikistan,TJK,Europe & Central Asia,Lower middle income,2003,65.002
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2003,64.24039024
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2003,62.20790244
Tonga,TON,East Asia & Pacific,Upper middle income,2003,71.17543902
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2003,68.78426829
Tunisia,TUN,Middle East & North Africa,Lower middle income,2003,73.94556098
Turkey,TUR,Europe & Central Asia,Upper middle income,2003,71.57419512
Tuvalu,TUV,East Asia & Pacific,Upper middle income,2003,
Uganda,UGA,Sub-Saharan Africa,Low income,2003,49.58780488
Ukraine,UKR,Europe & Central Asia,Lower middle income,2003,68.21073171
United States,USA,North America,High income,2003,77.03658537
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2003,67.18660976
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,2003,72.94456098
Vietnam,VNM,East Asia & Pacific,Lower middle income,2003,73.77253659
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2003,68.65170732
Samoa,WSM,East Asia & Pacific,Upper middle income,2003,70.42626829
"Yemen, Rep.",YEM,Middle East & North Africa,Lower middle income,2003,61.09182927
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2003,52.5237561
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2003,46.53863415
Zimbabwe,ZWE,Sub-Saharan Africa,Low income,2003,40.70248781
Afghanistan,AFG,South Asia,Low income,2004,56.62631707
Angola,AGO,Sub-Saharan Africa,Lower middle income,2004,48.0035122
Albania,ALB,Europe & Central Asia,Upper middle income,2004,75.83121951
United Arab Emirates,ARE,Middle East & North Africa,High income,2004,75.45726829
Argentina,ARG,Latin America & Caribbean,Upper middle income,2004,74.51878049
Armenia,ARM,Europe & Central Asia,Lower middle income,2004,72.9737561
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2004,74.22614634
Australia,AUS,East Asia & Pacific,High income,2004,80.4902439
Austria,AUT,Europe & Central Asia,High income,2004,79.18048781
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2004,68.47019512
Burundi,BDI,Sub-Saharan Africa,Low income,2004,52.39639024
Belgium,BEL,Europe & Central Asia,High income,2004,78.87804878
Benin,BEN,Sub-Saharan Africa,Low income,2004,56.63317073
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2004,52.76778049
Bangladesh,BGD,South Asia,Lower middle income,2004,67.49719512
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2004,72.56341463
Bahrain,BHR,Middle East & North Africa,High income,2004,75.27321951
"Bahamas, The",BHS,Latin America & Caribbean,High income,2004,73.39465854
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2004,74.95948781
Belarus,BLR,Europe & Central Asia,Upper middle income,2004,68.95609756
Belize,BLZ,Latin America & Caribbean,Upper middle income,2004,68.88482927
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2004,62.96863415
Brazil,BRA,Latin America & Caribbean,Upper middle income,2004,71.532
Barbados,BRB,Latin America & Caribbean,High income,2004,73.86802439
Brunei Darussalam,BRN,East Asia & Pacific,High income,2004,76.02412195
Bhutan,BTN,South Asia,Lower middle income,2004,64.13617073
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2004,52.35631707
Central African Republic,CAF,Sub-Saharan Africa,Low income,2004,44.43968293
Canada,CAN,North America,High income,2004,80.14146342
Switzerland,CHE,Europe & Central Asia,High income,2004,81.08780488
Chile,CHL,Latin America & Caribbean,High income,2004,78.28939024
China,CHN,East Asia & Pacific,Upper middle income,2004,73.41995122
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2004,51.71648781
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2004,52.87926829
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2004,52.598
Colombia,COL,Latin America & Caribbean,Upper middle income,2004,72.02495122
Comoros,COM,Sub-Saharan Africa,Low income,2004,59.8887561
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2004,71.17639024
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2004,77.96536585
Cuba,CUB,Latin America & Caribbean,Upper middle income,2004,77.64468293
Cyprus,CYP,Europe & Central Asia,High income,2004,78.4657561
Czech Republic,CZE,Europe & Central Asia,High income,2004,75.72195122
Germany,DEU,Europe & Central Asia,High income,2004,78.68048781
Djibouti,DJI,Middle East & North Africa,Lower middle income,2004,57.66363415
Dominica,DMA,Latin America & Caribbean,Upper middle income,2004,
Denmark,DNK,Europe & Central Asia,High income,2004,77.49268293
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2004,71.48353659
Algeria,DZA,Middle East & North Africa,Upper middle income,2004,71.81626829
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2004,73.94231707
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2004,69.26578049
Eritrea,ERI,Sub-Saharan Africa,Low income,2004,58.09282927
Spain,ESP,Europe & Central Asia,High income,2004,79.87073171
Estonia,EST,Europe & Central Asia,High income,2004,71.9097561
Ethiopia,ETH,Sub-Saharan Africa,Low income,2004,55.18982927
Finland,FIN,Europe & Central Asia,High income,2004,78.71463415
Fiji,FJI,East Asia & Pacific,Upper middle income,2004,68.31768293
France,FRA,Europe & Central Asia,High income,2004,80.16341463
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,2004,67.77602439
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2004,59.17378049
United Kingdom,GBR,Europe & Central Asia,High income,2004,78.74634146
Georgia,GEO,Europe & Central Asia,Lower middle income,2004,72.75029268
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2004,58.22236585
Guinea,GIN,Sub-Saharan Africa,Low income,2004,52.04107317
"Gambia, The",GMB,Sub-Saharan Africa,Low income,2004,57.48709756
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2004,52.12604878
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2004,53.31578049
Greece,GRC,Europe & Central Asia,High income,2004,79.03902439
Grenada,GRD,Latin America & Caribbean,Upper middle income,2004,71.14280488
Guatemala,GTM,Latin America & Caribbean,Lower middle income,2004,69.36690244
Guyana,GUY,Latin America & Caribbean,Upper middle income,2004,65.47365854
Honduras,HND,Latin America & Caribbean,Lower middle income,2004,71.29282927
Croatia,HRV,Europe & Central Asia,Upper middle income,2004,75.5202439
Haiti,HTI,Latin America & Caribbean,Low income,2004,58.82092683
Hungary,HUN,Europe & Central Asia,High income,2004,72.64878049
Indonesia,IDN,East Asia & Pacific,Lower middle income,2004,66.97487805
India,IND,South Asia,Lower middle income,2004,64.14780488
Ireland,IRL,Europe & Central Asia,High income,2004,78.53902439
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,2004,71.59363415
Iraq,IRQ,Middle East & North Africa,Upper middle income,2004,68.56012195
Iceland,ISL,Europe & Central Asia,High income,2004,80.99756098
Israel,ISR,Middle East & North Africa,High income,2004,80.14634146
Italy,ITA,Europe & Central Asia,High income,2004,80.78048781
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2004,73.15560976
Jordan,JOR,Middle East & North Africa,Lower middle income,2004,72.4737561
Japan,JPN,East Asia & Pacific,High income,2004,82.0302439
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2004,65.88780488
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2004,52.5522439
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2004,68.15365854
Cambodia,KHM,East Asia & Pacific,Lower middle income,2004,62.07360976
Kiribati,KIR,East Asia & Pacific,Lower middle income,2004,64.66529268
Kuwait,KWT,Middle East & North Africa,High income,2004,73.583
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2004,61.16943902
Lebanon,LBN,Middle East & North Africa,Upper middle income,2004,76.38012195
Liberia,LBR,Sub-Saharan Africa,Low income,2004,54.0962439
Libya,LBY,Middle East & North Africa,Upper middle income,2004,71.27680488
Sri Lanka,LKA,South Asia,Lower middle income,2004,73.68029268
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2004,43.53346342
Lithuania,LTU,Europe & Central Asia,High income,2004,71.96097561
Luxembourg,LUX,Europe & Central Asia,High income,2004,79.12195122
Latvia,LVA,Europe & Central Asia,High income,2004,72.02682927
Morocco,MAR,Middle East & North Africa,Lower middle income,2004,70.03882927
Monaco,MCO,Europe & Central Asia,High income,2004,
Madagascar,MDG,Sub-Saharan Africa,Low income,2004,60.72870732
Maldives,MDV,South Asia,Upper middle income,2004,73.61758537
Mexico,MEX,Latin America & Caribbean,Upper middle income,2004,75.11548781
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2004,
Mali,MLI,Sub-Saharan Africa,Low income,2004,51.70107317
Malta,MLT,Middle East & North Africa,High income,2004,79.25365854
Myanmar,MMR,East Asia & Pacific,Lower middle income,2004,63.28321951
Montenegro,MNE,Europe & Central Asia,Upper middle income,2004,73.43378049
Mongolia,MNG,East Asia & Pacific,Lower middle income,2004,64.73495122
Mozambique,MOZ,Sub-Saharan Africa,Low income,2004,50.20963415
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2004,60.47509756
Malawi,MWI,Sub-Saharan Africa,Low income,2004,46.95734146
Malaysia,MYS,East Asia & Pacific,Upper middle income,2004,73.48121951
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2004,54.92346342
Niger,NER,Sub-Saharan Africa,Low income,2004,53.28243902
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2004,48.12565854
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2004,71.44290244
Netherlands,NLD,Europe & Central Asia,High income,2004,79.09512195
Norway,NOR,Europe & Central Asia,High income,2004,79.84146342
Nepal,NPL,South Asia,Low income,2004,64.92258537
Nauru,NRU,East Asia & Pacific,Upper middle income,2004,
New Zealand,NZL,East Asia & Pacific,High income,2004,79.54878049
Oman,OMN,Middle East & North Africa,High income,2004,74.023
Pakistan,PAK,South Asia,Lower middle income,2004,63.66746342
Panama,PAN,Latin America & Caribbean,Upper middle income,2004,75.8037561
Peru,PER,Latin America & Caribbean,Upper middle income,2004,72.13619512
Philippines,PHL,East Asia & Pacific,Lower middle income,2004,67.15419512
Palau,PLW,East Asia & Pacific,High income,2004,
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2004,60.265
Poland,POL,Europe & Central Asia,High income,2004,74.84634146
Portugal,PRT,Europe & Central Asia,High income,2004,77.67073171
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2004,71.07117073
Qatar,QAT,Middle East & North Africa,High income,2004,76.91607317
Romania,ROU,Europe & Central Asia,Upper middle income,2004,71.59427561
Russian Federation,RUS,Europe & Central Asia,Upper middle income,2004,65.47097561
Rwanda,RWA,Sub-Saharan Africa,Low income,2004,53.19763415
Saudi Arabia,SAU,Middle East & North Africa,High income,2004,73.09346342
Sudan,SDN,Sub-Saharan Africa,Lower middle income,2004,59.43814634
Senegal,SEN,Sub-Saharan Africa,Low income,2004,59.7185122
Singapore,SGP,East Asia & Pacific,High income,2004,79.4902439
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2004,65.11287805
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2004,42.63919512
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2004,69.88273171
San Marino,SMR,Europe & Central Asia,High income,2004,81.72195122
Somalia,SOM,Sub-Saharan Africa,Low income,2004,52.05290244
Serbia,SRB,Europe & Central Asia,Upper middle income,2004,72.68292683
South Sudan,SSD,Sub-Saharan Africa,Low income,2004,50.76241463
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2004,64.26129268
Suriname,SUR,Latin America & Caribbean,Upper middle income,2004,68.56597561
Slovenia,SVN,Europe & Central Asia,High income,2004,77.20731707
Sweden,SWE,Europe & Central Asia,High income,2004,80.49756098
Swaziland,SWZ,Sub-Saharan Africa,Lower middle income,2004,45.74534146
Seychelles,SYC,Sub-Saharan Africa,High income,2004,72.6097561
Syrian Arab Republic,SYR,Middle East & North Africa,Lower middle income,2004,74.09568293
Chad,TCD,Sub-Saharan Africa,Low income,2004,47.79582927
Togo,TGO,Sub-Saharan Africa,Low income,2004,54.16321951
Thailand,THA,East Asia & Pacific,Upper middle income,2004,71.78646342
Tajikistan,TJK,Europe & Central Asia,Lower middle income,2004,65.53702439
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2004,64.33743902
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2004,63.19297561
Tonga,TON,East Asia & Pacific,Upper middle income,2004,71.31443902
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2004,68.87182927
Tunisia,TUN,Middle East & North Africa,Lower middle income,2004,74.13743902
Turkey,TUR,Europe & Central Asia,Upper middle income,2004,72.02987805
Tuvalu,TUV,East Asia & Pacific,Upper middle income,2004,
Uganda,UGA,Sub-Saharan Africa,Low income,2004,50.7012439
Ukraine,UKR,Europe & Central Asia,Lower middle income,2004,68.18536585
United States,USA,North America,High income,2004,77.48780488
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2004,67.26502439
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,2004,73.08643902
Vietnam,VNM,East Asia & Pacific,Lower middle income,2004,73.95902439
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2004,68.99
Samoa,WSM,East Asia & Pacific,Upper middle income,2004,70.71460976
"Yemen, Rep.",YEM,Middle East & North Africa,Lower middle income,2004,61.29265854
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2004,51.8737561
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2004,47.93239024
Zimbabwe,ZWE,Sub-Saharan Africa,Low income,2004,41.05934146
Afghanistan,AFG,South Asia,Low income,2005,57.0272439
Angola,AGO,Sub-Saharan Africa,Lower middle income,2005,48.53880488
Albania,ALB,Europe & Central Asia,Upper middle income,2005,76.08160976
United Arab Emirates,ARE,Middle East & North Africa,High income,2005,75.68639024
Argentina,ARG,Latin America & Caribbean,Upper middle income,2005,74.68780488
Armenia,ARM,Europe & Central Asia,Lower middle income,2005,73.28739024
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2005,74.42543902
Australia,AUS,East Asia & Pacific,High income,2005,80.84146342
Austria,AUT,Europe & Central Asia,High income,2005,79.33170732
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2005,68.93726829
Burundi,BDI,Sub-Saharan Africa,Low income,2005,52.69695122
Belgium,BEL,Europe & Central Asia,High income,2005,78.98048781
Benin,BEN,Sub-Saharan Africa,Low income,2005,57.06597561
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2005,53.58131707
Bangladesh,BGD,South Asia,Lower middle income,2005,67.97185366
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2005,72.56097561
Bahrain,BHR,Middle East & North Africa,High income,2005,75.42214634
"Bahamas, The",BHS,Latin America & Caribbean,High income,2005,73.63887805
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2005,75.09353659
Belarus,BLR,Europe & Central Asia,Upper middle income,2005,68.85121951
Belize,BLZ,Latin America & Caribbean,Upper middle income,2005,69.08636585
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2005,63.53978049
Brazil,BRA,Latin America & Caribbean,Upper middle income,2005,71.83963415
Barbados,BRB,Latin America & Caribbean,High income,2005,74.03034146
Brunei Darussalam,BRN,East Asia & Pacific,High income,2005,76.21346342
Bhutan,BTN,South Asia,Lower middle income,2005,64.91843902
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2005,54.55221951
Central African Republic,CAF,Sub-Saharan Africa,Low income,2005,44.73809756
Canada,CAN,North America,High income,2005,80.29268293
Switzerland,CHE,Europe & Central Asia,High income,2005,81.23658537
Chile,CHL,Latin America & Caribbean,High income,2005,78.63829268
China,CHN,East Asia & Pacific,Upper middle income,2005,73.76695122
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2005,51.88904878
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2005,53.63829268
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2005,53.56153659
Colombia,COL,Latin America & Caribbean,Upper middle income,2005,72.26392683
Comoros,COM,Sub-Saharan Africa,Low income,2005,60.10978049
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2005,71.52353659
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2005,78.08665854
Cuba,CUB,Latin America & Caribbean,Upper middle income,2005,77.93214634
Cyprus,CYP,Europe & Central Asia,High income,2005,78.58960976
Czech Republic,CZE,Europe & Central Asia,High income,2005,75.92439024
Germany,DEU,Europe & Central Asia,High income,2005,78.93170732
Djibouti,DJI,Middle East & North Africa,Lower middle income,2005,57.98429268
Dominica,DMA,Latin America & Caribbean,Upper middle income,2005,
Denmark,DNK,Europe & Central Asia,High income,2005,77.84390244
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2005,71.70039024
Algeria,DZA,Middle East & North Africa,Upper middle income,2005,72.19656098
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2005,74.13797561
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2005,69.42968293
Eritrea,ERI,Sub-Saharan Africa,Low income,2005,58.59241463
Spain,ESP,Europe & Central Asia,High income,2005,80.17073171
Estonia,EST,Europe & Central Asia,High income,2005,72.56829268
Ethiopia,ETH,Sub-Saharan Africa,Low income,2005,56.23656098
Finland,FIN,Europe & Central Asia,High income,2005,78.81707317
Fiji,FJI,East Asia & Pacific,Upper middle income,2005,68.49178049
France,FRA,Europe & Central Asia,High income,2005,80.16341463
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,2005,67.92436585
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2005,59.46804878
United Kingdom,GBR,Europe & Central Asia,High income,2005,79.04878049
Georgia,GEO,Europe & Central Asia,Lower middle income,2005,72.9902439
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2005,58.70104878
Guinea,GIN,Sub-Saharan Africa,Low income,2005,52.58660976
"Gambia, The",GMB,Sub-Saharan Africa,Low income,2005,57.89209756
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2005,52.33929268
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2005,53.67458537
Greece,GRC,Europe & Central Asia,High income,2005,79.23902439
Grenada,GRD,Latin America & Caribbean,Upper middle income,2005,71.37209756
Guatemala,GTM,Latin America & Caribbean,Lower middle income,2005,69.64597561
Guyana,GUY,Latin America & Caribbean,Upper middle income,2005,65.5825122
Honduras,HND,Latin America & Caribbean,Lower middle income,2005,71.48217073
Croatia,HRV,Europe & Central Asia,Upper middle income,2005,75.24463415
Haiti,HTI,Latin America & Caribbean,Low income,2005,59.17846342
Hungary,HUN,Europe & Central Asia,High income,2005,72.64878049
Indonesia,IDN,East Asia & Pacific,Lower middle income,2005,67.16856098
India,IND,South Asia,Lower middle income,2005,64.52387805
Ireland,IRL,Europe & Central Asia,High income,2005,78.94390244
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,2005,71.93170732
Iraq,IRQ,Middle East & North Africa,Upper middle income,2005,68.38168293
Iceland,ISL,Europe & Central Asia,High income,2005,81.50243902
Israel,ISR,Middle East & North Africa,High income,2005,80.15121951
Italy,ITA,Europe & Central Asia,High income,2005,80.78292683
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2005,73.42802439
Jordan,JOR,Middle East & North Africa,Lower middle income,2005,72.63890244
Japan,JPN,East Asia & Pacific,High income,2005,81.92512195
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2005,65.9097561
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2005,53.51982927
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2005,67.95609756
Cambodia,KHM,East Asia & Pacific,Lower middle income,2005,62.96770732
Kiribati,KIR,East Asia & Pacific,Lower middle income,2005,64.78236585
Kuwait,KWT,Middle East & North Africa,High income,2005,73.65141463
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2005,61.7345122
Lebanon,LBN,Middle East & North Africa,Upper middle income,2005,76.83258537
Liberia,LBR,Sub-Saharan Africa,Low income,2005,55.06617073
Libya,LBY,Middle East & North Africa,Upper middle income,2005,71.471
Sri Lanka,LKA,South Asia,Lower middle income,2005,73.97356098
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2005,43.65773171
Lithuania,LTU,Europe & Central Asia,High income,2005,71.25365854
Luxembourg,LUX,Europe & Central Asia,High income,2005,79.43170732
Latvia,LVA,Europe & Central Asia,High income,2005,71.35609756
Morocco,MAR,Middle East & North Africa,Lower middle income,2005,70.43982927
Monaco,MCO,Europe & Central Asia,High income,2005,
Madagascar,MDG,Sub-Saharan Africa,Low income,2005,61.18729268
Maldives,MDV,South Asia,Upper middle income,2005,74.33234146
Mexico,MEX,Latin America & Caribbean,Upper middle income,2005,75.28209756
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,2005,
Mali,MLI,Sub-Saharan Africa,Low income,2005,52.57970732
Malta,MLT,Middle East & North Africa,High income,2005,79.3
Myanmar,MMR,East Asia & Pacific,Lower middle income,2005,63.55526829
Montenegro,MNE,Europe & Central Asia,Upper middle income,2005,73.58429268
Mongolia,MNG,East Asia & Pacific,Lower middle income,2005,65.16692683
Mozambique,MOZ,Sub-Saharan Africa,Low income,2005,50.64160976
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,2005,60.66036585
Malawi,MWI,Sub-Saharan Africa,Low income,2005,48.27592683
Malaysia,MYS,East Asia & Pacific,Upper middle income,2005,73.60060976
Namibia,NAM,Sub-Saharan Africa,Upper middle income,2005,55.97743902
Niger,NER,Sub-Saharan Africa,Low income,2005,53.93685366
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2005,48.66648781
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2005,71.83809756
Netherlands,NLD,Europe & Central Asia,High income,2005,79.34634146
Norway,NOR,Europe & Central Asia,High income,2005,80.04146342
Nepal,NPL,South Asia,Low income,2005,65.49429268
Nauru,NRU,East Asia & Pacific,Upper middle income,2005,
New Zealand,NZL,East Asia & Pacific,High income,2005,79.85121951
Oman,OMN,Middle East & North Africa,High income,2005,74.40760976
Pakistan,PAK,South Asia,Lower middle income,2005,63.87763415
Panama,PAN,Latin America & Caribbean,Upper middle income,2005,75.97163415
Peru,PER,Latin America & Caribbean,Upper middle income,2005,72.4585122
Philippines,PHL,East Asia & Pacific,Lower middle income,2005,67.26648781
Palau,PLW,East Asia & Pacific,High income,2005,69.12926829
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,2005,60.64307317
Poland,POL,Europe & Central Asia,High income,2005,74.99512195
Portugal,PRT,Europe & Central Asia,High income,2005,78.07073171
Paraguay,PRY,Latin America & Caribbean,Upper middle income,2005,71.28631707
Qatar,QAT,Middle East & North Africa,High income,2005,77.02353659
Romania,ROU,Europe & Central Asia,Upper middle income,2005,71.87889512
Russian Federation,RUS,Europe & Central Asia,Upper middle income,2005,65.5297561
Rwanda,RWA,Sub-Saharan Africa,Low income,2005,54.75160976
Saudi Arabia,SAU,Middle East & North Africa,High income,2005,73.177
Sudan,SDN,Sub-Saharan Africa,Lower middle income,2005,59.84082927
Senegal,SEN,Sub-Saharan Africa,Low income,2005,60.36192683
Singapore,SGP,East Asia & Pacific,High income,2005,79.9902439
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,2005,65.55348781
Sierra Leone,SLE,Sub-Saharan Africa,Low income,2005,43.60307317
El Salvador,SLV,Latin America & Caribbean,Lower middle income,2005,70.17892683
San Marino,SMR,Europe & Central Asia,High income,2005,81.97560976
Somalia,SOM,Sub-Saharan Africa,Low income,2005,52.35585366
Serbia,SRB,Europe & Central Asia,Upper middle income,2005,72.83414634
South Sudan,SSD,Sub-Saharan Africa,Low income,2005,51.17163415
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,2005,64.57690244
Suriname,SUR,Latin America & Caribbean,Upper middle income,2005,68.846
Slovenia,SVN,Europe & Central Asia,High income,2005,77.61219512
Sweden,SWE,Europe & Central Asia,High income,2005,80.54634146
Swaziland,SWZ,Sub-Saharan Africa,Lower middle income,2005,45.86007317
Seychelles,SYC,Sub-Saharan Africa,High income,2005,72.13170732
Syrian Arab Republic,SYR,Middle East & North Africa,Lower middle income,2005,74.36385366
Chad,TCD,Sub-Saharan Africa,Low income,2005,47.97390244
Togo,TGO,Sub-Saharan Africa,Low income,2005,54.50797561
Thailand,THA,East Asia & Pacific,Upper middle income,2005,72.15726829
Tajikistan,TJK,Europe & Central Asia,Lower middle income,2005,66.09721951
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,2005,64.43236585
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,2005,64.15609756
Tonga,TON,East Asia & Pacific,Upper middle income,2005,71.45334146
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,2005,68.97904878
Tunisia,TUN,Middle East & North Africa,Lower middle income,2005,74.3032439
Turkey,TUR,Europe & Central Asia,Upper middle income,2005,72.44812195
Tuvalu,TUV,East Asia & Pacific,Upper middle income,2005,
Uganda,UGA,Sub-Saharan Africa,Low income,2005,51.77021951
Ukraine,UKR,Europe & Central Asia,Lower middle income,2005,67.95682927
United States,USA,North America,High income,2005,77.48780488
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,2005,67.34704878
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,2005,73.20331707
Vietnam,VNM,East Asia & Pacific,Lower middle income,2005,74.13812195
Vanuatu,VUT,East Asia & Pacific,Lower middle income,2005,69.31785366
Samoa,WSM,East Asia & Pacific,Upper middle income,2005,70.99692683
"Yemen, Rep.",YEM,Middle East & North Africa,Lower middle income,2005,61.49792683
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2005,51.55734146
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,2005,49.42939024
Zimbabwe,ZWE,Sub-Saharan Africa,Low income,2005,41.75960976
Afghanistan,AFG,South Asia,Low income,2006,57.43256098
Angola,AGO,Sub-Saharan Africa,Lower middle income,2006,49.00704878
Albania,ALB,Europe & Central Asia,Upper middle income,2006,76.28612195
United Arab Emirates,ARE,Middle East & North Africa,High income,2006,75.90453659
Argentina,ARG,Latin America & Caribbean,Upper middle income,2006,74.84990244
Armenia,ARM,Europe & Central Asia,Lower middle income,2006,73.54826829
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2006,74.61814634
Australia,AUS,East Asia & Pacific,High income,2006,81.04146342
Austria,AUT,Europe & Central Asia,High income,2006,79.88048781
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2006,69.3752439
Burundi,BDI,Sub-Saharan Africa,Low income,2006,53.05387805
Belgium,BEL,Europe & Central Asia,High income,2006,79.38048781
Benin,BEN,Sub-Saharan Africa,Low income,2006,57.48339024
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2006,54.40390244
Bangladesh,BGD,South Asia,Lower middle income,2006,68.42563415
Bulgaria,BGR,Europe & Central Asia,Upper middle income,2006,72.61219512
